taxa.level	taxa.name	age	richness	e.div.0	e.div.5	e.div.9
Order	Scandentia	80.48	20	0.037223314	0.029216889	0.013229507
Order	Sirenia	64.22	5	0.025061319	0.017107012	0.005239368
Order	Soricomorpha	74.54	428	0.081286869	0.072019181	0.050675451
Order	Tubulidentata	77.02	1	0	0	0
Order	Crocodylia	249.1641	24	0.012754862	0.010136808	0.004791711
Order	Lepidosaurisa	270.4	7974	0.033224636	0.030661685	0.02471333
Order	Testudines	259.8333	328	0.022295116	0.019639171	0.013537517
Order	Coelacanthiformes	409.4	2	0.001693081	0.000990389	0.000232805
Order	Arbacioida	137	25	0.023495444	0.018722258	0.008932667
Order	Aspidodiadematoida	210	18	0.013763675	0.010720437	0.00472977
Order	Camarodonta	171	188	0.030622468	0.026599999	0.017430518
Order	Cassiduloida	37	12	0.067159639	0.050589248	0.020052361
Order	Diadematoida	221	33	0.015821301	0.01281997	0.006493595
Order	Echinolampadoida	37	14	0.071325874	0.054456838	0.022511057
Order	Echinoneoida	181	3	0.006069681	0.003829542	0.001007301
Order	Echinothurioida	245	59	0.01664301	0.013882438	0.007824174
Order	Holasteroida	160	50	0.024450144	0.02024174	0.011093452
Order	Pedinoida	210	13	0.012214045	0.009266239	0.003754559
Order	Spatangoida	160	271	0.035013243	0.030704093	0.020826278
Order	Stomopneustoida	137	2	0.005059468	0.002959599	0.000695695
Order	Anomalodesmata	355.9095	825	0.018868233	0.016924099	0.012429138
Order	Arcoida	222.118254	612	0.028888811	0.025775539	0.018588054
Order	Carditoida	424.608	402	0.014122325	0.012495736	0.008751621
Order	Mytiloida	315.073012	396	0.018984216	0.016792264	0.011747442
Order	Nuculanoida	475.065	519	0.013160102	0.011705096	0.008349407
Order	Nuculida	410.097842	174	0.01258006	0.010903834	0.007088311
Order	Pectinoida	222.118254	569	0.028560824	0.025448107	0.018264995
Order	Solemyoida	410.097842	47	0.009388363	0.007749501	0.004200867
Order	Trigonioida	195.018318	8	0.010662801	0.007712493	0.002720915
Order	Unionoida	195.018318	863	0.034665537	0.031117208	0.022911716
Order	Veneroida	225.5125	3099	0.035646959	0.032574736	0.025449364
Order	Chaetodermatida	518.5919	132	0.0094155	0.008093458	0.005102615
Order	Tryblidiida	493.0616	31	0.006964621	0.00562321	0.002811605
Order	Chitonida	233.4425	824	0.02876156	0.025797514	0.018944488
Order	Lepidopleurida	154.9588	152	0.03242075	0.027989961	0.017932633
Order	Archaeoglobales	1776.16	5	0.000906133	0.000618532	0.000189438
Order	Halobacteriales	1472.29	72	0.002904772	0.002443345	0.001420823
Order	Methanobacteriales	2013.9	37	0.001792998	0.001462058	0.000757762
Order	Methanococcales	2013.9	14	0.001310421	0.001000498	0.00041358
Order	Methanomicrobiales	1154.69	32	0.003001443	0.002427803	0.001221962
Order	Methanocellales	490.48	3	0.002239872	0.001413202	0.000371721
Order	Methanosarcinales	1318.86	33	0.002651159	0.002148229	0.001088125
Order	Methanopyrales	2767.28	1	0	0	0
Order	Thermococcales	2450.75	31	0.001401198	0.001131323	0.000565661
Order	Thermoplasmatales	1299.25	5	0.001238744	0.000845574	0.000258974
Order	Desulfurococcales	2345.31	21	0.001298132	0.001022421	0.000468429
Order	Thermoproteales	2854.75	13	0.000898485	0.000681639	0.000276191
Order	Sulfolobales	2345.31	16	0.001182184	0.000912488	0.000390691
Order	Actinomycetales	2738.9	1696	0.002714969	0.002462109	0.001876204
Order	Rhizobiales	1325.63	247	0.004156053	0.003636219	0.002446076
Order	Caulobacterales	1325.63	26	0.002457772	0.001963361	0.000945032
Order	Rhodospirillales	1752.54	103	0.002644578	0.002254581	0.001378521
Order	Rhodobacterales	1498.12	133	0.003264324	0.002806646	0.001771048
Order	Sphingomonadales	1613.43	81	0.002723669	0.002301663	0.001361834
Order	Rickettsiales	1918.65	63	0.002159401	0.001806341	0.001028891
Order	Aquificales	4178.6	19	0.000704647	0.000551042	0.000246403
Order	Bacillales	1837.26	455	0.003331209	0.002955132	0.002088599
Order	Lactobacillales	1837.26	332	0.00315967	0.002784035	0.001920957
Order	Bacteroidales	1834.04	108	0.002552906	0.002179996	0.001341077
Order	Burkholderiales	1027.54	227	0.005279551	0.004609259	0.003076519
Order	Rhodocyclales	1027.54	38	0.003540092	0.002890802	0.001506085
Order	Hydrogenophilales	1054.79	10	0.00218298	0.001616197	0.000608513
Order	Nitrosomonadales	1054.79	15	0.002567383	0.001971427	0.000829993
Order	Neisseriales	1385.51	55	0.002892316	0.002405038	0.001339794
Order	Chlamydiales	2739.05	14	0.000963494	0.000735621	0.000304087
Order	Chlorobiales	2098.65	14	0.001257502	0.000960095	0.000396879
Order	Chroococcales	661.82	585	0.009627409	0.008582655	0.006171307
Order	Dehalococcoidales	2761.31	1	0	0	0
Order	Deinococcales	2738.9	24	0.001160339	0.000922169	0.000435913
Order	Desulfuromonadales	2173.35	29	0.001549357	0.001246026	0.00061426
Order	Bdellovibrionales	1898.68	7	0.001024875	0.000730136	0.000247542
Order	Myxococcales	1898.68	54	0.002100925	0.001745521	0.000969384
Order	Desulfovibrionales	2421.36	62	0.00170447	0.001424814	0.000809502
Order	Campylobacterales	2849.04	68	0.001481028	0.001242861	0.000716459
Order	Fusobacteriales	3305.89	32	0.001048352	0.00084799	0.00042681
Order	Pasteurellales	633.78	64	0.00656203	0.005492821	0.003136537
Order	Enterobacteriales	633.78	188	0.008262239	0.007176938	0.004702923
Order	Vibrionales	750.82	90	0.005993194	0.005084724	0.003053375
Order	Legionellales	1672.94	57	0.002416734	0.002012801	0.001127996
Order	Thiotrichales	1620.61	41	0.002291466	0.001878627	0.000993106
Order	Xanthomonadales	1620.61	74	0.00265583	0.002236405	0.001305839
Order	Methylococcales	1653.22	27	0.001993586	0.001596313	0.000774811
Order	Oceanospirillales	1029.99	85	0.004313296	0.003651686	0.002175467
Order	Chromatiales	1653.22	82	0.002665537	0.002253598	0.001335741
Order	Entomoplasmatales	522.96	54	0.007627704	0.00633736	0.003519485
Order	Acholeplasmatales	1859.95	35	0.001911529	0.001554005	0.000796583
Order	Planctomycetales	2762.11	11	0.000868139	0.000648692	0.000250948
Order	Solibacterales	2578.87	2	0.000268779	0.000157226	3.70E-05
Order	Sphingobacteriales	1834.04	106	0.002542714	0.002169899	0.001331676
Order	Spirochaetales	2762.11	98	0.001659951	0.001412678	0.000858128
Order	Thermotogales	4188.74	28	0.000795515	0.000638414	0.000312345
Order	Arthoniales	361.58	7	0.005381686	0.003833991	0.001299861
